epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1534.18,0.2565,0.4942,0.90232,0.94555,0.94128,0.98456,0.96213,0.23287,0.70413,0.67261,0.000368936,0.000368936,0.000368936
2,3122.29,0.22572,0.32919,0.86587,0.98592,0.92661,0.98766,0.96372,0.24266,0.63883,0.67024,0.00073195,0.00073195,0.00073195
3,4718.91,0.2346,0.3196,0.86724,0.94915,0.9455,0.98056,0.9535,0.28256,0.34878,0.69311,0.00108763,0.00108763,0.00108763
4,6309.47,0.23285,0.32373,0.86374,0.96555,0.97711,0.98978,0.96258,0.24401,0.29325,0.68044,0.001078,0.001078,0.001078
5,7915.66,0.2227,0.30127,0.85909,0.95866,0.986,0.98961,0.97027,0.23064,0.29533,0.66946,0.001067,0.001067,0.001067
6,9487.15,0.22445,0.27388,0.85949,0.98929,0.97551,0.99236,0.96547,0.24889,0.25468,0.6786,0.00105601,0.00105601,0.00105601
7,11087.1,0.22342,0.28562,0.85935,0.98902,0.98518,0.99229,0.97545,0.22679,0.22905,0.66344,0.00104501,0.00104501,0.00104501
8,12670.3,0.22897,0.28243,0.86208,0.95535,0.98465,0.98562,0.96304,0.22093,0.28084,0.64861,0.00103401,0.00103401,0.00103401
9,14270.8,0.21628,0.28843,0.85413,0.97705,0.98117,0.99233,0.97104,0.23803,0.25405,0.66889,0.00102301,0.00102301,0.00102301
10,15862.6,0.21266,0.27766,0.85288,0.98501,0.9815,0.98685,0.96851,0.22321,0.23345,0.65981,0.00101201,0.00101201,0.00101201
11,17505.7,0.21399,0.28521,0.85847,0.98522,0.97865,0.9908,0.97134,0.19238,0.23109,0.65203,0.00100101,0.00100101,0.00100101
12,19204.8,0.2007,0.25565,0.84668,0.98067,0.95193,0.9906,0.97185,0.21422,0.25476,0.65854,0.000990012,0.000990012,0.000990012
13,20878.7,0.20361,0.25771,0.84685,0.98474,0.97886,0.99112,0.97496,0.20061,0.21163,0.64199,0.000979013,0.000979013,0.000979013
14,22547.3,0.19846,0.24021,0.85231,0.95697,0.98783,0.98939,0.96629,0.22195,0.25715,0.67546,0.000968014,0.000968014,0.000968014
15,24222.8,0.19531,0.25099,0.85314,0.9766,0.97894,0.9903,0.9719,0.21106,0.22777,0.659,0.000957015,0.000957015,0.000957015
16,25899.1,0.19256,0.23087,0.84031,0.96448,0.99261,0.98905,0.96925,0.19133,0.22772,0.64001,0.000946016,0.000946016,0.000946016
17,27638.4,0.18399,0.22369,0.84486,0.97724,0.97538,0.98943,0.97453,0.19925,0.24277,0.64335,0.000935018,0.000935018,0.000935018
18,29353,0.19113,0.23106,0.84373,0.96672,0.99082,0.98898,0.97167,0.19558,0.24856,0.64806,0.000924019,0.000924019,0.000924019
19,31038.5,0.19248,0.23011,0.84852,0.98098,0.97166,0.98907,0.97391,0.19574,0.22408,0.64587,0.00091302,0.00091302,0.00091302
20,35805.7,0.18329,0.22404,0.84628,0.97423,0.96744,0.98685,0.96953,0.18686,0.2437,0.64702,0.000902021,0.000902021,0.000902021
21,48926.1,0.18647,0.22595,0.84368,0.96705,0.98678,0.98962,0.9753,0.17433,0.20739,0.64097,0.000891022,0.000891022,0.000891022
22,50601.1,0.17745,0.20916,0.83834,0.97935,0.98211,0.99147,0.96578,0.20134,0.21543,0.64407,0.000880023,0.000880023,0.000880023
23,52291.1,0.1755,0.21046,0.83976,0.98911,0.9764,0.99101,0.97545,0.18491,0.19363,0.64129,0.000869024,0.000869024,0.000869024
24,53977,0.18097,0.21226,0.84557,0.98904,0.98604,0.99091,0.97106,0.20586,0.19663,0.64477,0.000858025,0.000858025,0.000858025
25,55667.3,0.17493,0.21077,0.84142,0.97964,0.96503,0.99032,0.97583,0.18617,0.44635,0.63871,0.000847026,0.000847026,0.000847026
26,57360.8,0.17854,0.20372,0.83692,0.98897,0.98892,0.99328,0.98015,0.17116,0.17132,0.62944,0.000836027,0.000836027,0.000836027
27,59034.9,0.16801,0.18648,0.83271,0.97965,0.9949,0.9911,0.97745,0.17854,0.17929,0.63133,0.000825029,0.000825029,0.000825029
28,60716.5,0.169,0.20101,0.83411,0.97268,0.98002,0.98855,0.97328,0.16663,0.21357,0.62588,0.00081403,0.00081403,0.00081403
29,62392.5,0.16368,0.18683,0.83461,0.98494,0.9705,0.99165,0.96994,0.20381,0.20839,0.66479,0.000803031,0.000803031,0.000803031
30,64234.6,0.16608,0.1855,0.83847,0.97038,0.99115,0.98849,0.97629,0.1752,0.18085,0.62716,0.000792032,0.000792032,0.000792032
31,65977.7,0.16974,0.19187,0.83552,0.98237,0.99144,0.99208,0.97592,0.18092,0.15978,0.64364,0.000781033,0.000781033,0.000781033
32,67694.6,0.16754,0.19112,0.83624,0.98157,0.99488,0.99121,0.98074,0.16973,0.16015,0.62847,0.000770034,0.000770034,0.000770034
33,73184.3,0.15868,0.19031,0.83304,0.98094,0.9958,0.99204,0.98087,0.17011,0.16742,0.63333,0.000759035,0.000759035,0.000759035
34,75003.2,0.15803,0.18067,0.8343,0.98362,0.99552,0.98963,0.97569,0.16294,0.17137,0.63205,0.000748036,0.000748036,0.000748036
35,76783.3,0.16335,0.18174,0.834,0.97496,0.99048,0.98889,0.97671,0.1623,0.17855,0.62782,0.000737037,0.000737037,0.000737037
36,78640.3,0.16157,0.18209,0.8346,0.98244,0.99657,0.99112,0.98022,0.16159,0.16188,0.63003,0.000726038,0.000726038,0.000726038
37,80361.7,0.1585,0.17497,0.83317,0.98444,0.99614,0.99012,0.97985,0.1528,0.14529,0.62095,0.00071504,0.00071504,0.00071504
38,82110.6,0.15891,0.17132,0.83219,0.98581,0.99685,0.98987,0.98067,0.14703,0.14673,0.61489,0.000704041,0.000704041,0.000704041
39,83883.5,0.15315,0.16979,0.83456,0.97934,0.99423,0.99129,0.9849,0.1594,0.15371,0.61956,0.000693042,0.000693042,0.000693042
40,85617.6,0.14981,0.16184,0.8262,0.9822,0.99418,0.98997,0.98148,0.15419,0.17294,0.62584,0.000682043,0.000682043,0.000682043
41,87358.4,0.14869,0.15914,0.82922,0.98296,0.99168,0.98966,0.97911,0.15004,0.14186,0.61868,0.000671044,0.000671044,0.000671044
42,89113.5,0.14873,0.16217,0.82815,0.98385,0.9956,0.99026,0.98065,0.1518,0.15315,0.62306,0.000660045,0.000660045,0.000660045
43,90853.6,0.1433,0.16559,0.82413,0.97566,0.99833,0.99014,0.97785,0.14851,0.15132,0.61978,0.000649046,0.000649046,0.000649046
44,92635.5,0.14793,0.16023,0.83587,0.98366,0.99247,0.98977,0.9803,0.15068,0.14894,0.60964,0.000638047,0.000638047,0.000638047
45,94403.7,0.14538,0.15498,0.82858,0.98239,0.99707,0.99146,0.98017,0.15232,0.14966,0.61454,0.000627048,0.000627048,0.000627048
46,96160.2,0.14673,0.16167,0.83114,0.98618,0.99666,0.99104,0.97958,0.15829,0.14265,0.62971,0.000616049,0.000616049,0.000616049
47,97834.2,0.14818,0.1572,0.83183,0.97416,0.99573,0.99293,0.98241,0.14789,0.16426,0.61828,0.000605051,0.000605051,0.000605051
48,99471.5,0.14574,0.15572,0.82853,0.99268,0.99512,0.9908,0.98242,0.14066,0.13749,0.61177,0.000594052,0.000594052,0.000594052
49,101106,0.14623,0.16412,0.82698,0.97823,0.9952,0.99008,0.98074,0.15002,0.14238,0.61611,0.000583053,0.000583053,0.000583053
50,102754,0.1381,0.15297,0.82202,0.98417,0.9972,0.99205,0.98156,0.14711,0.15616,0.61619,0.000572054,0.000572054,0.000572054
51,104386,0.14349,0.15432,0.82586,0.98507,0.99452,0.99055,0.98474,0.1563,0.15428,0.62548,0.000561055,0.000561055,0.000561055
52,105996,0.13933,0.14911,0.82818,0.98315,0.9936,0.98896,0.97863,0.15598,0.16335,0.62898,0.000550056,0.000550056,0.000550056
53,107595,0.14079,0.14848,0.8272,0.98748,0.9958,0.98965,0.98039,0.15368,0.16061,0.62226,0.000539057,0.000539057,0.000539057
54,109197,0.13908,0.14839,0.82791,0.98576,0.99205,0.99046,0.98071,0.15097,0.13896,0.61925,0.000528058,0.000528058,0.000528058
55,110837,0.13231,0.17525,0.81532,0.98538,0.99382,0.99141,0.98613,0.14919,0.14624,0.62131,0.000517059,0.000517059,0.000517059
56,112477,0.13519,0.14556,0.82686,0.99238,0.99039,0.99034,0.98476,0.14914,0.15371,0.61804,0.00050606,0.00050606,0.00050606
57,114124,0.13717,0.14627,0.82479,0.97757,0.99476,0.99162,0.98249,0.15819,0.15222,0.62737,0.000495062,0.000495062,0.000495062
58,1538.5,0.13823,0.14679,0.87531,0.98963,0.99689,0.99157,0.98051,0.15462,0.13022,0.62961,0.000484063,0.000484063,0.000484063
59,3081.32,0.13792,0.1409,0.83046,0.9924,0.9949,0.99203,0.98744,0.15695,0.14296,0.63074,0.000473064,0.000473064,0.000473064
60,4650.77,0.13199,0.13442,0.82403,0.98534,0.99426,0.99004,0.98544,0.15039,0.14395,0.61964,0.000462065,0.000462065,0.000462065
61,6234.78,0.13138,0.13181,0.82727,0.98636,0.9957,0.99064,0.98717,0.14235,0.1355,0.61254,0.000451066,0.000451066,0.000451066
62,7795.28,0.12938,0.13119,0.82279,0.99158,0.9924,0.9908,0.98697,0.14272,0.14073,0.61226,0.000440067,0.000440067,0.000440067
63,9351.66,0.1289,0.12514,0.82838,0.99034,0.9919,0.99265,0.98691,0.14641,0.13261,0.61402,0.000429068,0.000429068,0.000429068
64,10922.1,0.12644,0.12647,0.8216,0.9888,0.99802,0.99126,0.98225,0.14218,0.12785,0.62297,0.000418069,0.000418069,0.000418069
65,12496.2,0.1282,0.13174,0.82223,0.97815,0.99596,0.98994,0.98151,0.14407,0.14792,0.61783,0.00040707,0.00040707,0.00040707
66,14076,0.12826,0.12984,0.82299,0.97639,0.99773,0.99298,0.98474,0.13159,0.1357,0.60672,0.000396071,0.000396071,0.000396071
67,15637.2,0.12492,0.12777,0.82185,0.98622,0.99758,0.99138,0.98087,0.13946,0.14967,0.61403,0.000385073,0.000385073,0.000385073
68,17214,0.12293,0.12574,0.82614,0.98661,0.99489,0.9932,0.98427,0.13642,0.13319,0.62205,0.000374074,0.000374074,0.000374074
69,18763.6,0.12374,0.12907,0.82226,0.98527,0.99599,0.99063,0.98078,0.1332,0.14321,0.61604,0.000363075,0.000363075,0.000363075
70,20357.1,0.12585,0.12551,0.82045,0.98433,0.99567,0.99225,0.98549,0.13416,0.13943,0.61977,0.000352076,0.000352076,0.000352076
71,21933.9,0.124,0.13006,0.82775,0.97908,0.99504,0.99272,0.98872,0.13271,0.14482,0.61723,0.000341077,0.000341077,0.000341077
72,23488.3,0.12016,0.12311,0.82668,0.98086,0.99412,0.99112,0.97907,0.14121,0.15437,0.62121,0.000330078,0.000330078,0.000330078
73,25062.7,0.11869,0.1174,0.81732,0.98312,0.99719,0.99119,0.98066,0.13285,0.14004,0.61617,0.000319079,0.000319079,0.000319079
74,26613.3,0.11766,0.11588,0.82266,0.98524,0.99567,0.99163,0.98342,0.12609,0.13582,0.61275,0.00030808,0.00030808,0.00030808
75,1500.84,0.11364,0.1082,0.83208,0.98255,0.99773,0.9932,0.98577,0.12563,0.12888,0.61195,0.000297081,0.000297081,0.000297081
76,3026.05,0.11657,0.11079,0.83136,0.9867,0.99548,0.99262,0.98372,0.12887,0.12907,0.61825,0.000286083,0.000286083,0.000286083
77,4562.46,0.11281,0.10804,0.82065,0.98577,0.99567,0.98956,0.98603,0.12617,0.1291,0.61334,0.000275084,0.000275084,0.000275084
78,6166.16,0.11206,0.10728,0.82514,0.98419,0.99609,0.99037,0.9844,0.12831,0.13843,0.61794,0.000264085,0.000264085,0.000264085
79,7762.99,0.1106,0.10496,0.81985,0.98179,0.99567,0.98811,0.98449,0.12212,0.12981,0.60897,0.000253086,0.000253086,0.000253086
80,9355.99,0.11136,0.10144,0.82368,0.98309,0.99611,0.98965,0.98759,0.12602,0.12608,0.61556,0.000242087,0.000242087,0.000242087
81,10933.8,0.10952,0.10307,0.81871,0.98472,0.99614,0.98967,0.98196,0.12346,0.12741,0.62137,0.000231088,0.000231088,0.000231088
82,12503.7,0.10884,0.1049,0.8188,0.98307,0.99773,0.98929,0.98107,0.12543,0.12555,0.61727,0.000220089,0.000220089,0.000220089
83,14059.1,0.10954,0.09884,0.81889,0.98265,0.99773,0.98925,0.98071,0.12141,0.12149,0.61172,0.00020909,0.00020909,0.00020909
84,15631.6,0.10847,0.10448,0.81859,0.9831,0.99567,0.99136,0.98232,0.12426,0.13434,0.61143,0.000198091,0.000198091,0.000198091
